Name	Type	ADDR_MOD	Library	Length	Value	Attribute	Save	Access	MOD_BUS	EDU	Cold_start	Index	Ar_count	Ar_period	Ar_filter	Comment
Pump2_repair	I				0	Internal	FALSE	RW	0		0	2859				Режим насосa (акт/ремонт) для hmi
Pump_1_fault	I				0	Internal	FALSE	RW	0		0	2860				Насос 1. Авария общая  Описание смотри в карте регистров блокировок ID или по условию в CbP
Pump_2_fault	I				0	Internal	FALSE	RW	0		0	2861				Насос 2. Авария общая
Fan1_fault	I				0	Internal	FALSE	RW	0		0	2862				Вентилятор 1. Код аварии
Fan1_LOC	I				0	Internal	FALSE	RW	0		0	2863				Управление Вентилятор 1 местн/дист.
Delay_Fan1	I				0	Internal	FALSE	RW	0		0	2864				Задаём задержку на вкл/откл.
Fan2_fault	I				0	Internal	FALSE	RW	0		0	2865				Вентилятор 2. Код аварии
Fan2_LOC	I				0	Internal	FALSE	RW	0		0	2866				Управление Вентилятор 2 местн/дист.
FAN2_mode_work_or_reserv	I				0	Internal	FALSE	RW	0		0	2867				режим работ вент. 0 - резервный В2 / 1 - В2 рабочий
Delay_Fan2	I				0	Internal	FALSE	RW	0		0	2868				Задаём задержку на вкл/откл.
Fan3_fault	I				0	Internal	FALSE	RW	0		0	2869				Вентилятор 3. Код аварии
Fan3_LOC	I				0	Internal	FALSE	RW	0		0	2870				Управление Вентилятор 3 ручн.(1)/автом.(0)
Delay_Fan3	I				0	Internal	FALSE	RW	0		0	2871				Задаём задержку на вкл/откл.
Fan4_fault	I				0	Internal	FALSE	RW	0		0	2872				Вентилятор 4. Код аварии
Delay_Fan4	I				0	Internal	FALSE	RW	0		0	2873				Задаём задержку на вкл/откл.
FAN4_mode_work_or_reserv	I				0	Internal	FALSE	RW	0		0	2874				режим работ вент. 0 - резервный В4 / 1 - В4 рабочий
Gas1_Level_1_status	I				0	Internal	FALSE	RW	0		0	2875				Газоанализатор. Индикация порог 1  Насоса Н - 1
Gas1_Level_2_status	I				0	Internal	FALSE	RW	0		0	2876				Газоанализатор. Индикация порог 2  Насоса Н - 1
Gas2_Level_1_status	I				0	Internal	FALSE	RW	0		0	2877				Газоанализатор. Индикация порог 1
Gas2_Level_2_status	I				0	Internal	FALSE	RW	0		0	2878				Газоанализатор. Индикация порог 2
Gas3_Level_1_status	I				0	Internal	FALSE	RW	0		0	2879				Газоанализатор. Индикация порог 1
Gas3_Level_2_status	I				0	Internal	FALSE	RW	0		0	2880				Газоанализатор. Индикация порог 2
FAN1_SET_WRK_TIME	I				0	Internal	FALSE	RW	0		0	2881				Время работы после снижения загазованности ниже порога 1
FAN2_SET_WRK_TIME	I				0	Internal	FALSE	RW	0		0	2882				Время работы после снижения загазованности ниже порога 1
TYPE_SIGNAL_PUMP_1	I				0	Internal	FALSE	RW	0		0	2883				Тип управления пуском (1- цифровой, 2 - дискретный)
TYPE_SIGNAL_PUMP_2	I				0	Internal	FALSE	RW	0		0	2884				
DELTA1_STATUS_MB	I				0	Internal	FALSE	RW	0		0	2885				Связь с ЧП1
DELTA1_STATUS_All	I				0	Internal	FALSE	RW	0		0	2886				Состояние ПЧобщий
DELTA1_STATUS_01b	I				0	Internal	FALSE	RW	0		0	2887				Состояние ПЧ (Bits_00 стоп, 01 Торможение, 10 Готовность, 11 Работа)
DELTA1_STATUS_10b	I				0	Internal	FALSE	RW	0		0	2888				Состояние ПЧ (Bits_00 стоп, 01 Торможение, 10 Готовность, 11 Работа)
DELTA1_DIRECTION_01b	I				0	Internal	FALSE	RW	0		0	2889				Направление вращения
DELTA1_DIRECTION_10b	I				0	Internal	FALSE	RW	0		0	2890				Направление вращения
DELTA1_FREQ_SET	I				0	Internal	FALSE	RW	0		0	2891				Заданная частота (Только индикация)
DELTA1_FREQ_OUT	I				0	Internal	FALSE	RW	0		0	2892				Факт.Выходная частота
DELTA1_CURRENT	I				0	Internal	FALSE	RW	0		0	2893				Выходной ток
DELTA1_VOLTAGE	I				0	Internal	FALSE	RW	0		0	2894				Напряжение на шине DC
DELTA1_VOLTAGE_OUT	I				0	Internal	FALSE	RW	0		0	2895				Выходное напряжение
DELTA1_TEMP_IGBT	I				0	Internal	FALSE	RW	0		0	2896				температура igbt
DELTA1_TEMP_RADIATOR	I				0	Internal	FALSE	RW	0		0	2897				температура радиатора
DELTA1_MOTOR_SPEED	I				0	Internal	FALSE	RW	0		0	2898				Фактическая скорость двигателя
DELTA1_CONTROL_FREQ_SET	I				0	Internal	FALSE	RW	0		0	2899				Управление частотой
DELTA1_TYPE_FREQ	I				0	Internal	FALSE	RW	0		0	2900				Тип управления частотой (1 -цифровой, 2 - аналоговый)
DELTA1_START_ON_MB	I				0	Internal	FALSE	RW	0		0	2901				Пуск/стоп н1 по модбасу
DELTA2_STATUS_MB	I				0	Internal	FALSE	RW	0		0	2902				Связь с ЧП1
DELTA2_STATUS_All	I				0	Internal	FALSE	RW	0		0	2903				Состояние ПЧобщий
DELTA2_STATUS_01b	I				0	Internal	FALSE	RW	0		0	2904				Состояние ПЧ (Bits_00 стоп, 01 Торможение, 10 Готовность, 11 Работа)
DELTA2_STATUS_10b	I				0	Internal	FALSE	RW	0		0	2905				Состояние ПЧ (Bits_00 стоп, 01 Торможение, 10 Готовность, 11 Работа)
DELTA2_DIRECTION_01b	I				0	Internal	FALSE	RW	0		0	2906				Направление вращения
DELTA2_DIRECTION_10b	I				0	Internal	FALSE	RW	0		0	2907				Направление вращения
DELTA2_FREQ_SET	I				0	Internal	FALSE	RW	0		0	2908				Заданная частота (Только индикация)
DELTA2_FREQ_OUT	I				0	Internal	FALSE	RW	0		0	2909				Факт.Выходная частота
DELTA2_CURRENT	I				0	Internal	FALSE	RW	0		0	2910				Выходной ток
DELTA2_VOLTAGE	I				0	Internal	FALSE	RW	0		0	2911				Напряжение на шине DC
DELTA2_VOLTAGE_OUT	I				0	Internal	FALSE	RW	0		0	2912				Выходное напряжение
DELTA2_TEMP_IGBT	I				0	Internal	FALSE	RW	0		0	2913				температура igbt
DELTA2_TEMP_RADIATOR	I				0	Internal	FALSE	RW	0		0	2914				температура радиатора
DELTA2_MOTOR_SPEED	I				0	Internal	FALSE	RW	0		0	2915				Фактическая скорость двигателя
DELTA2_CONTROL_FREQ_SET	I				0	Internal	FALSE	RW	0		0	2916				Управление частотой
