Name	Type	ADDR_MOD	Library	Length	Value	Attribute	FRD	Save	Access	MOD_BUS	EDU	Cold_start	Index	Ar_count	Ar_period	Ar_filter	Comment
GVL_Ai|ch_change[70]	I				0	Internal	0	FALSE	RW	8242		0	84				
GVL_Ai|ch_change[71]	I				0	Internal	0	FALSE	RW	8260		0	85				
GVL_Ai|ch_change[72]	I				0	Internal	0	FALSE	RW	8278		0	86				
GVL_Ai|ch_change[73]	I				0	Internal	0	FALSE	RW	8296		0	87				
GVL_Ai|ch_change[74]	I				0	Internal	0	FALSE	RW	8314		0	88				
GVL_Ai|ch_change[75]	I				0	Internal	0	FALSE	RW	8332		0	89				
GVL_Ai|ch_change[76]	I				0	Internal	0	FALSE	RW	8350		0	90				
GVL_Ai|ch_change[77]	I				0	Internal	0	FALSE	RW	8368		0	91				
GVL_Ai|ch_change[78]	I				0	Internal	0	FALSE	RW	8386		0	92				
GVL_Ai|ch_change[79]	I				0	Internal	0	FALSE	RW	8404		0	93				
GVL_Ai|ch_change[80]	I				0	Internal	0	FALSE	RW	8422		0	94				
GVL_Ai|ch_change[81]	I				0	Internal	0	FALSE	RW	8440		0	95				
GVL_Ai|ch_change[82]	I				0	Internal	0	FALSE	RW	8458		0	96				
GVL_Ai|ch_change[83]	I				0	Internal	0	FALSE	RW	8476		0	97				
GVL_Ai|ch_change[84]	I				0	Internal	0	FALSE	RW	8494		0	98				
GVL_Ai|ch_change[85]	I				0	Internal	0	FALSE	RW	8512		0	99				
GVL_Ai|ch_change[86]	I				0	Internal	0	FALSE	RW	8530		0	100				
GVL_Ai|ch_change[87]	I				0	Internal	0	FALSE	RW	8548		0	101				
GVL_Ai|ch_change[88]	I				0	Internal	0	FALSE	RW	8566		0	102				
GVL_Ai|ch_change[89]	I				0	Internal	0	FALSE	RW	8584		0	103				
GVL_Ai|ch_change[90]	I				0	Internal	0	FALSE	RW	8602		0	104				
GVL_Ai|ch_change[91]	I				0	Internal	0	FALSE	RW	8620		0	105				
GVL_Ai|ch_change[92]	I				0	Internal	0	FALSE	RW	8638		0	106				
GVL_Ai|ch_change[93]	I				0	Internal	0	FALSE	RW	8656		0	107				
GVL_Ai|ch_change[94]	I				0	Internal	0	FALSE	RW	8674		0	108				
GVL_Ai|ch_change[95]	I				0	Internal	0	FALSE	RW	8692		0	109				
GVL_Ai|ch_change[96]	I				0	Internal	0	FALSE	RW	8710		0	110				
GVL|REG_1	I				0	Internal	0	FALSE	RW	1		0	111				REG_1. Идентификатор (ID_), который позволяет считать/записать данные с выбранного канала.
GVL|REG_2	I				0	Internal	0	FALSE	RW	2		0	112				REG_2. Физический номер канала на ПЛК. Only Read
GVL|REG_3	I				0	Internal	0	FALSE	RW	3		0	113				REG_3. Активация симуляции ( = 1 Симуляция вкл.).
GVL|REG_4	I				0	Internal	0	FALSE	RW	4		0	114				REG_4. Уставка верхняя аварийная.
GVL|REG_6	I				0	Internal	0	FALSE	RW	6		0	115				REG_6. Уставка верхняя предупредительная.
GVL|REG_8	I				0	Internal	0	FALSE	RW	8		0	116				REG_8. Уставка нижняя предупредительная.
GVL|REG_10	I				0	Internal	0	FALSE	RW	10		0	117				REG_10. Уставка нижняя аварийная.
GVL|REG_12	I				0	Internal	0	FALSE	RW	12		0	118				REG_12. Значение, заданное при симуляции.
GVL|REG_14	I				0	Internal	0	FALSE	RW	14		0	119				REG_14. Команды управления с ТМ.
GVL|REG_15	I				0	Internal	0	FALSE	RW	15		0	120				REG_15. ПЧ1_ Состояние ПЧ общий (Битовое слово см. ниже продолжение)
GVL|REG_16	I				0	Internal	0	FALSE	RW	16		0	121				REG_16. ПЧ1_Заданная частота (Только индикация)
GVL|REG_18	I				0	Internal	0	FALSE	RW	18		0	122				REG_18. ПЧ1_Факт.Выходная частота
GVL|REG_20	I				0	Internal	0	FALSE	RW	20		0	123				REG_20. ПЧ1_Выходной ток
GVL|REG_22	I				0	Internal	0	FALSE	RW	22		0	124				REG_22. ПЧ1_Напряжение на шине DC
GVL|REG_24	I				0	Internal	0	FALSE	RW	24		0	125				REG_24. ПЧ1_Выходное напряжение
GVL|REG_26	I				0	Internal	0	FALSE	RW	26		0	126				REG_26. ПЧ1_температура igbt
GVL|REG_28	I				0	Internal	0	FALSE	RW	28		0	127				REG_28. ПЧ1_температура радиатора
GVL|REG_30	I				0	Internal	0	FALSE	RW	30		0	128				REG_30. ПЧ1_Управление частотой
GVL|REG_32	I				0	Internal	0	FALSE	RW	32		0	129				REG_32. ПЧ2_ Состояние ПЧ2 общий (Битовое слово см. ниже продолжение)
GVL|REG_33	I				0	Internal	0	FALSE	RW	33		0	130				REG_33. ПЧ2_Заданная частота (Только индикация)
GVL|REG_35	I				0	Internal	0	FALSE	RW	35		0	131				REG_35. ПЧ2_Факт.Выходная частота
GVL|REG_37	I				0	Internal	0	FALSE	RW	37		0	132				REG_37. ПЧ2_Выходной ток
GVL|REG_39	I				0	Internal	0	FALSE	RW	39		0	133				REG_39. ПЧ2_Напряжение на шине DC
